Method,Noise,Epsilon,Accuracy,Loss
Centralized,0.0,inf,0.7207792401313782,0.5300840139389038
Federated,0.0,inf,0.7207792401313782,
Federated-DP,0.5,19.194103648752325,0.7272727489471436,
Federated-DP,1.0,9.597051824376162,0.701298713684082,
Federated-DP,1.5,6.398034549584108,0.6948052048683167,
